Year;Month;Day;tmmn(degC);tmmx(degC);rmax(%);rmin(%)
1990;1;1;-5,82;4,85;86,60412;40,74822
1990;1;2;-8,38;1,51;99,29288;40,75768
1990;1;3;-10,86;0,72;92,21437;35,16385
1990;1;4;-10,33;2,78;83,97049;36,90955
1990;1;5;-8,43;4,3;95,19032;44,26775
1990;1;6;-7,8;4,86;92,99501;44,55547
1990;1;7;-3,37;7,73;93,74076;43,30664
1990;1;8;-0,17;9,9;98,81619;55,96133
1990;1;9;-3,08;10,1;98,33546;44,71215
1990;1;10;-1,65;11,15;74,65503;27,55803
1990;1;11;-2,79;10,56;66,67617;28,13129
1990;1;12;-2,38;11,24;76,97174;33,52977
1990;1;13;-0,4;11,14;95,05794;35,32635
1990;1;14;-3,14;5,92;98,30009;33,09266
1990;1;15;-5,08;5,41;99,69579;49,14201
1990;1;16;-4,78;4,96;99,3385;46,67691
1990;1;17;-7,01;3,37;98,65994;42,94601
1990;1;18;-8,77;2,96;98,80538;42,1395
1990;1;19;-10,3;2,34;96,84614;37,55668
1990;1;20;-10,36;2,53;94,59753;36,97248
1990;1;21;-9,53;3,77;94,13898;40,03134
1990;1;22;-8,18;5,1;93,25734;39,4974
1990;1;23;-6,15;5,79;91,26445;42,52995
1990;1;24;-8,56;3,43;86,32491;29,1865
1990;1;25;-7,2;6,99;84,65655;33,63915
1990;1;26;-6,05;4,61;90,72066;30,83607
1990;1;27;-9,65;0,99;74,93889;31,85725
1990;1;28;-9,2;5,57;89,96506;32,52648
1990;1;29;-6,93;5,66;94,25933;31,39896
1990;1;30;-4,72;4,27;92,67491;38,26714
1990;1;31;-8,91;2,71;96,66536;42,71445
1990;2;1;-7,08;2,59;99,8635;39,92365
1990;2;2;-10,3;3,36;99,24878;49,26159
1990;2;3;-7,98;5,7;93,78147;42,70603
1990;2;4;-7,07;4,2;97,81437;38,95208
1990;2;5;-8,7;4,11;77,82331;30,52057
1990;2;6;-7,36;3,72;97,74718;33,47405
1990;2;7;-11,44;0,17;85,31793;28,25668
1990;2;8;-10,04;3,32;89,72305;32,96801
1990;2;9;-6,11;7,04;97,16081;44,8822
1990;2;10;-4,53;9,24;99,44115;42,72799
1990;2;11;-4,4;10,34;90,58681;37,44145
1990;2;12;-7,34;5,37;93,78273;30,62439
1990;2;13;-11,67;-0,99;72,58025;23,0678
1990;2;14;-15,94;-3,05;78,17678;21,34787
1990;2;15;-14,76;0,32;80,68958;20,14905
1990;2;16;-9,92;2,23;99,99258;41,28264
1990;2;17;-11,04;-0,19;99,44492;50,34405
1990;2;18;-9,92;0,22;99,04731;51,39106
1990;2;19;-14,72;1,44;84,89223;32,59397
1990;2;20;-14,24;1,19;95,79297;31,53937
1990;2;21;-7,11;5,98;99,27548;51,6197
1990;2;22;-6,49;7,11;96,2122;45,55577
1990;2;23;-5,87;7,97;97,8089;46,21641
1990;2;24;-4,74;7;94,51337;46,59714
1990;2;25;-4,81;7,86;98,16402;49,78498
1990;2;26;-3,78;9,21;97,39874;50,57083
1990;2;27;-3,97;10,33;96,82144;42,26089
1990;2;28;-3,43;10,83;85,49861;38,20634
